comments,words
84,"['application', 'could', 'be', 'good', 'alternative', 'endomondo', 'for', 'example', 'but', 'at', 'this', 'point', 'many', 'lacks', 'not', 'possible', 'put', 'count', 'doxn', 'for', 'start', 'vocal', 'synthesis', 'poor', 'not', 'understandable', 'no', 'statistics', 'available', 'in', 'tablefor', 'each', 'km', 'good', 'points', 'map', 'very', 'readable', 'charts', 'interesting', 'be', 'improved']"
85,"['would', 'love', 'be', 'able', 'view', 'stats', 'per', 'activity', 'type', 'so', 'that', 'know', 'my', 'time', 'distance', 've', 'biked', 'versus', 'hiked', 'etc', 'viewing', 'all', 'activity', 'types', 'aggregated', 'together', 'more', 'of', 'piece', 'of', 'novelty', 'information', 'rather', 'than', 'useful', 'statistics', ""i've""]"
86,"['app', 'froze', 'up', 'on', 'my', '3rd', 'outing', 'with', 'it', 'luklckaly', 'it', 'was', 'almost', 'straight', 'shot', 'back', 'my', 'end', 'point', 'so', 'still', 'got', 'good', 'idea', 'of', 'distance', 'traveled', 'by', 'think', 'will', 'be', 'taking', 'my', 'stand', 'alone', 'gpsr', 'on', 'my', 'walks', 'for', 'wile']"
87,"['can', 'update', 'due', 'error', 'tried', 'reinstalling', 'now', 'it', 'won', 'install', 'back', 'again', 'pity', ""can't"", ""won't""]"
88,"['just', 'biked', 'around', 'perimeter', 'of', 'manhattan', 'it', 'worked', 'perfectly', 've', 'tried', 'other', 'apps', 'always', 'had', 'problems', 'of', 'some', 'sort', 'often', 'lost', 'trip', 'data', 'at', 'last', 'easy', 'use', 'app', 'that', 'works', 'thanks', 'google', ""i've""]"
89,"['tracking', 'has', 'been', 'fair', 'but', 'not', '100%', 'accurate', 'still', 'having', 'use', 'another', 'tracking', 'app', 'because', 'of', 'this', 'would', 'love', 'use', 'this', 'permanently', 'but', 'feel', 'it', 'needs', 'update', 'this', 'could', 'be', 'best', 'app', 'if', 'it', 'was', 'more', 'reliable', 'update', 'even', 'after', 'latest', 'update', 'it', 'not', 'very', 'accurate', 'when', 'viewing', 'track', 'in', 'google', 'earth', 'it', 'wonders', 'way', 'off', 'coarse', 'taken', ""i'd""]"
90,"['whenever', 'slide', 'chart', 'elevation', 'speed', 'right', 'always', 'moves', 'stats', 'when', 'zoomed', 'in', 'graph', 'on', 'chart', 'disapeared', 'please', 'fix']"
91,"['since', 'last', 'upgrade', 'tracks', 'no', 'longer', 'works', 'goes', 'in', 'fits', 'starts', 'can', 'you', 'get', 'android', 'apps', 'work', 'on', 'android', 'phones', 'what', 'with', 'that', ""can't"", ""what's""]"
92,"['was', 'using', 'my', 'tracks', 'for', 'months', 'was', 'very', 'good', 'before', 'starting', 'run', 'only', 'had', 'wait', 'for', 'full', 'gps', 'signal', 'then', 'could', 'put', 'my', 'phone', 'away', 'start', 'running', 'since', 'last', 'updat', 'recording', 'not', 'ok', 'it', 'looses', 'gps', 'signal', 'total', 'track', 'distance', 'can', 'be', '20%', 'mistaken', 'tried', 'it', 'over', 'over', 'again', 'factory', 'other', 'setting', 'alas', 'it', 'no', 'use', 'ld', 'like', 'old', 'app', 'back', 'samsung', 'galax', 'plus', 'android', ""'my"", ""it's"", ""i'ld""]"
93,"['can', 'understand', 'why', 'such', 'great', 'feature', 'ability', 'save', 'existing', 'map', 'gone', 'google', 'why', 'instead', 'of', 'improving', 'apps', 'you', 're', 'making', 'them', 'worse', 'could', 'understand', 'this', 'if', 'option', 'of', 'merging', 'maps', 'existed', 'in', 'google', 'maps', 'but', 'it', 'not', 'there', 'either', ""can't"", ""you're"", ""it's""]"
